ID,Cohort,Gender
355,1920FT,F
356,1920FT,M
357,1920FT,M
358,1920FT,F
359,1920FT,F
360,1920FT,F
361,1920FT,F
362,1820PT,M
363,1820PT,F
364,1820PT,M
365,1820PT,M
366,1820PT,F
367,1820PT,F
368,1820PT,F
369,1820PT,F
370,1820PT,F
371,1820PT,F
372,1820PT,M
373,1820PT,F
374,1820PT,F
375,1820PT,F
376,1820PT,M
377,1820PT,F
378,1820PT,F
379,1819FT,F
380,1819FT,F
381,1819FT,F
382,1819FT,F
383,1819FT,F
384,1819FT,M
385,1819FT,F
386,1819FT,F
387,1819FT,F
388,1819FT,F
389,1819FT,F
390,1819FT,F
391,1819FT,F
392,1819FT,F
393,1719PT,F
394,1719PT,M
395,1719PT,F
396,1719PT,F
397,1719PT,M
398,1719PT,F
399,1719PT,M
400,1719PT,F
401,1719PT,M
402,1719PT,F
403,1719PT,F
404,1719PT,F
405,1719PT,F
406,1718FT,F
407,1718FT,F
408,1718FT,F
409,1718FT,M
410,1718FT,M
411,1718FT,M
412,1718FT,F
413,1718FT,F
414,1718FT,M
415,1718FT,F
416,1718FT,F
417,1718FT,F
418,1718FT,F
419,1718FT,F
420,1718FT,F
421,1718FT,F
422,1618PT,F
423,1618PT,F
424,1618PT,F
425,1618PT,F
426,1618PT,F
427,1618PT,F
428,1618PT,F
429,1618PT,F
430,1618PT,M
431,1618PT,F
432,1618PT,M
433,1618PT,F
434,1618PT,F
435,1618PT,F
436,1618PT,M
437,1618PT,F
438,1618PT,F
439,1618PT,F
440,1618PT,F
441,1618PT,M
442,1618PT,F
443,1618PT,F
444,1618PT,F
445,1618PT,F
446,1618PT,F
447,1617FT,F
448,1617FT,M
449,1617FT,F
450,1617FT,M
451,1617FT,F
452,1617FT,F
453,1617FT,F
454,1617FT,F
455,1617FT,F
456,1617FT,F
457,1617FT,F
458,1617FT,M
459,1517PT,F
460,1517PT,F
461,1517PT,F
462,1517PT,M
463,1517PT,F
464,1517PT,F
465,1517PT,F
466,1517PT,F
467,1517PT,F
468,1517PT,F
469,1517PT,F
